IS DIVISION,IS DIVISION,BIOSTAR-L2,2870,2,10.100.16.199,
IS DIVISION,UCT- IS ,BIOSTAR-L2,,118,10.105.4.106,
INTERNAL AUDIT,HEAD OFFICE (CBD Building),BIOSTAR,2443,3,10.100.18.99,
INTERNAL AUDIT,NEW OFFICE,BIOSTAR,2443,7,10.104.5.210,
HR,ADMIN SECTION (NON LABOUR),BIOSTAR,2517,6,10.103.5.51,
HR,DIR. OFFICE /LABOUR SEC,BIOSTAR,2517,8,10.103.5.52,
WELFARE DIVISION,HEAD OFFICE ,BIOSTAR,2893,4,10.104.4.43,
WELFARE DIVISION,KITCHEN,BIOSTAR,2831,5,10.104.5.50,
MEDIA DIVISION ,MEDIA (CBD BUILDING ),BIOSTAR,2799,171,10.100.18.199,
MEDICLE DIVISION ,MAIN OFFICE ,BIOSTAR,3051,9,10.103.5.110,
SECRETARIAT,"V/C OFFICE, MD OFFICE. LEAGAL CONSUL.",BIOSTAR,/2466/2727,74,10.101.4.69,
SECRETARIAT,HQ BUILDING ,BIOSTAR -L2,,75,10.100.16.99,
C & D ENGINEERING ,STRESS BED,BIOSTAR,2279,27,10.101.7.252,
MAHAPOLA,TRANING CENTER ,BIOSTAR-L2,,152,10.105.12.66,
LEAGAL DIVISION,LEAGALE DIVISION,BIOSTAR,2486,100,10.104.5.42,
LOGISTICS ,ADMIN -CANAL YARD,BIOSTAR,3268/2484,10,10.102.68.218,
LOGISTICS ,ADMIN -CANAL YARD,BIOSTAR,3268/2484,11,10.102.68.217,
LOGISTICS ,CFS Paliyagoda,BIOSTAR,,P1,,
LOGISTICS ,CFS Paliyagoda ,BIOSTAR,,P2,,
LOGISTICS ,CFS1,BIOSTAR,3268/2607,12,10.105.6.60,
LOGISTICS ,BQ-3 WAREHOUSE ,BIOSTAR-L2,3268/2484,13,10.101.32.63,
LOGISTICS ,BQ-3 WAREHOUSE ,BIOSTAR-L2,,13-A,10.101.5.151,
LOGISTICS ,BQ-3 WAREHOUSE ,BIOSTAR-L2,,13- B  ,10.101.6.14,
LOGISTICS ,CFS IV,BIOSTAR,3268/2484,14,10.102.5.45,
LOGISTICS ,CFS II/bonding,BIOSTAR,3268/2484,15,10.102.5.13,
LOGISTICS ,B.Q 3 (SK OFFICE) ,BIOSTAR-L2,,18,10.101.32.9,
LOGISTICS ,DIRECTOR OFFICE ,BIOSTAR L2,3268/2484,16,10.102.68.168,
CIVIL ENGINEERING,HOUSING,BIOSTAR,,17,10.105.4.62,
CIVIL ENGINEERING,BS (NORTH),BIOSTAR,,19,10.105.4.54,
CIVIL ENGINEERING,PHI (NORTH),BIOSTAR-L2,,20,10.105.4.55,
CIVIL ENGINEERING,BS (SOUTH),BIOSTAR,2239/2912,22,10.104.5.247,
CIVIL ENGINEERING,PHI (SOUTH),BIOSTAR-L2,2437,23,10.101.4.44,
CIVIL ENGINEERING,ROADS & RAILS,BIOSTAR,,24,10.103.4.44,
CIVIL ENGINEERING,PENTA OCEAN/FPL ,BIOSTAR-L2,,25,10.104.6.197,
CIVIL ENGINEERING,BQ-1 (japan wearhouse),BIOSTAR-L2,3150,28,10.101.32.59,
CIVIL ENGINEERING,PHI -SUB (KOCCHIKADE/WATER TOWER),BIOSTAR,,29,10.103.5.221,
CIVIL ENGINEERING,CIW STORES,BIOSTAR-L2,,30,10.104.72.138,
CIVIL ENGINEERING,PVQ civil / WALKER BUILDING,BIOSTAR,,31,10.105.4.58,
CIVIL ENGINEERING,HANSAKAWA /diyakovla/dragging office,BIOSTAR,,33,10.101.12.60,
CIVIL ENGINEERING,mcs office admin,BIOSTAR,,34,10.101.32.67,
CIVIL ENGINEERING,MCS muster ,BIOSTAR-L2,2277,35,10.101.32.68,
CIVIL ENGINEERING,JCT DEVELOPMENT ,BIOSTAR,,37,10.103.8.46,
CIVIL ENGINEERING,JCT DEVELOPMENT -Harthal bridge,BIOSTAR,3254,38,10.102.4.111,
CIVIL ENGINEERING,JCT CIVIL,BIOSTAR,,39,10.103.4.47,
CIVIL ENGINEERING,QWALL/DREDGING OFFICE ,N/A **,,42,10.102.32.81,
MARINE ENGINEERING ,BOAT YARD,BIOSTAR,2531,43,10.102.4.81,
MARINE ENGINEERING ,BOAT YARD,BIOSTAR,2531,44,10.102.4.82,
MARINE ENGINEERING ,ENG HARBOUR CRAFT  (EHC-boat house) ,BIOSTAR,3154,45,10.102.5.81,
MARINE ENGINEERING ,SHIP WRITE-BOAT HOUSE ,BIOSTAR,3154,46,10.102.5.51,
MARINE ENGINEERING ,REFIT WORK SHOP ,BIOSTAR,3471,47,10.102.5.52,
MACHANICAL WORK,FITTING SHOP ,BIOSTAR,3696,49,10.102.4.46,
MACHANICAL WORK,MACHINE SHOP,BIOSTAR,3696,50,10.102.4.76,
MACHANICAL WORK,BLACKMITH,BIOSTAR,2519,51,10.102.4.48,ok
MACHANICAL WORK,STEEL FABRICATION (field1) BOILERSHOP ,BIOSTAR-L2,2689,52,10.102.4.49,
MACHANICAL WORK,STEEL FABRICATION (field1) BOILERSHOP ,BIOSTAR-L2,2689,53,10.102.4.98,
MACHANICAL WORK,STEEL FABRICATION (FIELD II),BIOSTAR L2,3812,54,10.102.4.55,
ENGINEERING -ADMIN,HEAD OFFICE ,BIOSTAR-L2,2260,55,10.101.5.50,
ENGINEERING -ADMIN,HEAD OFFICE ,BIOSTAR,2260,56,10.101.7.42,
ENGINEERING -ADMIN,ECT PROJECT ,BIOSTAR-L2,,155,10.101.9.223,
MACHANICAL PLANT,DIESEL SHOP & LUBRI ,BIOSTAR,2492,32,10.105.4.161,
MACHANICAL PLANT,CARGO HANDLING PL (F 1),BIOSTAR L2,2868,57,10.101.12.46,
MACHANICAL PLANT,CANSTRUCTION EQ MAIN UNIT (CEMS),BIOSTAR-L2,,58,10.103.4.117,
MACHANICAL PLANT,MOTOR GARAGE ,BIOSTAR,2308,59,10.105.4.56,
MACHANICAL PLANT,TRANSPORT SECTION ,BIOSTAR,2403,60,10.102.4.77,
MACHANICAL PLANT,GRANTY CRANE MAIN JCT  I/II,BIOSTAR L2,2688/3672,61,10.104.5.116,
MACHANICAL PLANT,MECHANICAL W SHOP JCT 3/4 (HINO),BIOSTAR,3323,62,10.103.4.65,
MACHANICAL PLANT,CRANE SHOP  ,BIOSTAR L2,2241,63,10.102.4.57,    
ELECTRICAL ENGINEERING ,AC WORK SHOP ,BIOSTAR L2,2716,64,10.103.5.220,
ELECTRICAL ENGINEERING ,TELECOM,BIOSTAR L2,3703,65,10.101.4.50,
ELECTRICAL ENGINEERING ,BAGDAD OFFICE /EF 1 & V,BIOSTAR,2355,66,10.102.4.84,
ELECTRICAL ENGINEERING ,EF II SECTION ,BIOSTAR,2252,67,10.102.6.131,
ELECTRICAL ENGINEERING ,FLOATING CRAFT ,BIOSTAR,,68,10.102.5.99,
ELECTRICAL ENGINEERING ,JCT WORK SHOP,BIOSTAR,2840,69,10.103.4.49,
ELECTRICAL ENGINEERING ,EF1 (bagdad) //EF 1 & V,BIOSTAR L2,2267,70,10.102.5.94,
ELECTRICAL ENGINEERING ,EF III SECTION (WALKER BUILDING),BIOSTAR L2,3158,71,10.105.4.63,
ELECTRICAL ENGINEERING ,ELECTRONIC,BIOSTAR,3703,72,10.101.4.25,
ELECTRICAL ENGINEERING ,DATA COM,BIOSTAR,2762,73,10.103.5.170,
ELECTRICAL ENGINEERING ,ECT,BIOSTAR-L2,,76,10.104.6.4,
SUPPLY DIVISION,MAIN STORES ,BIOSTAR L2,2843,78,10.102.32.55,
SUPPLY DIVISION,HEAD OFFICE ,BIOSTAR-L2,,92,10.101.32.47,
FINANCE DIVISION ,HEAD OFFICE (UPPER FLOOR),BIOSTAR-l2,3644,89,10.101.4.71,ok
FINANCE DIVISION ,HEAD OFFICE (GROUND FLOOR),BIOSTAR,3644,90,10.101.6.11,
FINANCE DIVISION ,HEAD OFFICE (GROUND FLOOR),BIOSTAR-L2,3644,91,10.101.5.60,
FINANCE DIVISION ,PORT COMMISION /SUPPLY ,BIOSTAR-L2,2297,88,10.101.32.47,
FINANCE DIVISION ,EPF SECTION,BIOSTAR,2514,87,10.102.68.210,
NAVIGATION ,FIRE BRIGADGE,BIOSTAR,2313,40,10.104.56.24,
NAVIGATION ,HABOUR MASTER OFFICE ,BIOSTAR L2,3379,93,10.101.4.68,
NAVIGATION ,SAFTY SECTION,BIOSTAR L2,,94,10.101.9.120,
NAVIGATION ,SURVEY SECTION ,BIOSTOR,,160,10.103.5.130,
NAVIGATION ,TAG STAFF - BOAT HOUSE ,BIOSTAR,2606,95,10.102.5.60,
NAVIGATION ,TUG STAFF -BOAT HOUSE ,BIOSTAR,3361,96,10.102.5.50,
NAVIGATION ,TUG MASTERS -BOAT HOUSE ,BIOSTAR,  ,97,10.102.5.66,
NAVIGATION ,SHC-office,BIOSTAR,3615,98,10.102.5.58,
NAVIGATION ,SHC-(sarangu) -boat house ,BIOSTAR ,3615,99,10.102.5.59,
NAVIGATION ,SHC -New pitot station (SARANGU),BIOSTAR-L2,3615,156,10.101.20.150,
NAVIGATION ,NEW PILOT STATION (CMT),BIOSTAR L2,3361,157,10.101.20.129,
NAVIGATION ,NEW PILOT STATION /boat men,BIOSTAR,,180,10.101.20.134,
NAVIGATION ,NEW PILOT STATION,BIOSTAR,,181,10.101.20.132,
SECURITY DIVISION,HEAD OFFICE ,BIOSTAR L2,3110/3622,105,10.104.5.222,
SECURITY DIVISION,MINISTRY ,BIOSTAR,3110/3274,102,10.101.4.99,
SECURITY DIVISION,ZONE 01,BIOSTAR,,102-A,10.101.72.29,
SECURITY DIVISION,SPECIAL UNIT,BIOSTAR,3110/3289,103,10.101.4.40,
SECURITY DIVISION,ZONE 02 BQ & MARINE UNIT,BIOSTAR,3110/2902,104,10.101.4.55,
SECURITY DIVISION,ZONE  03/pettah wearhouse ,BIOSTAR,3110/,106,10.102.4.64,
SECURITY DIVISION,ARMED UNIT,BIOSTAR,3110/2772,107,10.102.4.78,
SECURITY DIVISION,GATE UNIT -OFFICERS ,BIOSTAR,3110/2728,108,10.102.4.66,
SECURITY DIVISION,GATE UNIT,BIOSTAR-L2,3110/2728,109,10.102.4.67,
SECURITY DIVISION,PERMIT OFFICE (TEMP),BIOSTAR-L2,3110/2787,110,10.102.4.68,
SECURITY DIVISION,ZONE 06 /CAR PARK (pvq/gp/mahapola ),BIOSTAR,3110/2278,112,10.105.4.91,
SECURITY DIVISION,TRAFIC UNIT (ACCESS ROAD),BIOSTAR,3110/,114,10.105.4.60,
SECURITY DIVISION,PROSECUTION & INVESTIGATION ,BIOSTAR,3110/,115,10.103.6.140,
SECURITY DIVISION,GATE 01,BIOSTAR-L2,,GATE 1,10.101.6.100,
SECURITY DIVISION,GATE 02 LB,BIOSTAR-L2,,GATE 2,10.101.6.163,
SECURITY DIVISION,GATE 03 export (pettah),BIOSTAR-L2,,GATE 3,10.102.5.10,
SECURITY DIVISION,GATE 05 -JCT ,BIOSTAR-L2,,GATE 5,10.104.4.254,
SECURITY DIVISION,GATE 6  port access rd ,BIOSTAR-L2,,GATE 6,10.105.5.14,
SECURITY DIVISION,GATE 8 seram gate ,BIOSTAR-L2,,GATE 8 ,  ,
SECURITY DIVISION,JCT SECURITY ,BIOSTAR L2,2802/2620,122,10.104.5.119,
SECURITY DIVISION,CFS1,BIOSTAR L2,,111,10.105.5.11,
SECURITY DIVISION,LADIES UNIT,BIOSTAR-L2,,116,10.101.4.115,
OPERATION (JCT),JCT ADMIN ,BIOSTAR-L2,2802,120,10.104.5.117,
OPERATION (JCT),JCT ADMIN ,BIOSTAR-L2,2802,121,10.104.5.118,
OPERATION (JCT),JCT Opr. 3 & 4 AUS OOFICE,BIOSTAR,2557,123,10.104.5.120,
OPERATION (JCT),JCT TALLY PLAN OFFICE ,BIOSTAR-L2,3227,129,10.104.5.123,
OPERATION (JCT),JCT YARD ASSIST.MAS.POINT`,BIOSTAR,3227,124,10.104.4.233,
OPERATION (JCT),1 & 2 MUSTER,BIOSTAR,2685,125,10.104.73.251,
OPERATION (JCT),1 & 2 MUSTER,BIOSTAR-L2,2685,149,10.104.73.252,
OPERATION (JCT),1 & 2 MUSTER,BIOSTAR,,149-A,10.104.73.253,
OPERATION (JCT),1 & 2 grantry /transfercare/signal MUSTER ,BIOSTAR,3511,127,10.104.5.121,
OPERATION (JCT),1 & 2 grantry /transfercare/signal MUSTER ,BIOSTAR-L2,3511,150,10.104.5.155,
OPERATION (JCT),1 & 2 grantry /transfercare/signal MUSTER ,BIOSTAR-L2,3511,153,10.104.7.201,
OPERATION (JCT),JCT 3 & 4 MUSTER POINT ,BIOSTAR-L2,3681,126,10.104.5.225,
OPERATION (JCT),JCT 3 & 4 MUSTER POINT ,BIOSTAR,3681,128,10.104.5.246,
OPERATION (JCT),JCT 3 & 4 MUSTER POINT ,BIOSTAR-L2,3681,151,10.104.5.245,
OPERATION (JCT),JCT 3 & 4 MUSTER POINT ,BIOSTAR-L2,,154,10.103.5.200,
OPERATION ,ECT1,BIOSTAR-L2,,158,10.101.10.229,
OPERATION ,ECT2,BIOSTAR-L2,,159,10.101.72.24,
OPERATION ,CONV CARGO (HEAD OFFICE) /(OMA),BIOSTAR,2447,130,10.104.6.11,
OPERATION ,MAIN CONTROL ROOM/STAT..,BIOSTAR,2473/2900,131,10.104.7.118,
OPERATION ,MAIN GEAR STORES,ZK,2617,133,10.101.32.64,
OPERATION ,CONV CARGO(PVQ-MGR OFF),BIOSTAR,2785/2639,134,10.105.4.67,
OPERATION ,CONV CARGO (PVQ - MUSTER POINT),BIOSTAR,3078,136,10.105.4.82,
OPERATION ,CONV CARGO (PVQ - MUSTER POINT),BIOSTAR,3078,135,10.105.4.66,
OPERATION ,CONV CARGO (GUID PIER),BIOSTAR-L2,2663,137,10.105.4.70,
OPERATION ,CONV CARGO (GUID PIER) ,ZK,2663,138,10.105.4.71,
OPERATION ,CONV CARGO (GUID PIER) ,BIOSTAR,2663,139,10.105.4.72,
OPERATION ,CONV CARGO (BQ-IMPORT OFFICE),BIOSTAR-L2,2495,140,10.101.6.104,
OPERATION ,CONV CARGO (BQ-AUS OFFICE),BIOSTAR,2538,141,10.101.6.107,
OPERATION ,CONV CARGO (BQ-AUS OFFICE),BIOSTAR-L2,,142,10.101.6.106,
OPERATION ,CONV CARGO (BQ-GROUND FLOOR),BIOSTAR,2977,143,10.101.6.105,
OPERATION ,CONV CARGO (BQ-GROUND FLOOR),BIOSTAR,2977,144,10.101.6.112,
OPERATION ,CONV CARGO (BQ-GROUND FLOOR),BIOSTAR,2977,145,10.101.6.109,
OPERATION ,CONV CARGO (WATER SDEC),BIOSTAR-L2,2433,146,10.101.32.65,
OPERATION ,CONV CARGO (FORKLIFT),BIOASTAR-L1,2835,147,10.101.32.60,
OPERATION ,CONV CARGO (CRANE OFFICE),BIOASTAR-L2,,148,10.105.4.107,
